energy_eV,mu,od,mass_absorption,beta,delta,i0,theta_deg,phi_deg
276.400090,1.92528272e+3,-0.00385333404776163,1925.28271529852,0.0000687246896504312,0.0220903793939411,,55,0
276.499300,1.89820926e+3,-0.00463658685281193,1898.20925764505,0.0000677339661758247,0.0222169491072378,,55,0
276.600130,1.82358583e+3,-0.0067954913847977,1823.58582821369,0.0000650474512287574,0.0223776446984701,,55,0
276.700590,1.87836134e+3,-0.00521080009638554,1878.36133902451,0.0000669769722931599,0.0224892429035108,,55,0
276.797390,1.82406257e+3,-0.0067816987976986,1824.06257470007,0.0000650180885486925,0.0226323979864868,,55,0
276.899780,1.79812525e+3,-0.00753208247226595,1798.12525215713,0.0000640698614760597,0.0227871547173543,,55,0
276.999450,1.81364607e+3,-0.00708305504876974,1813.64607105096,0.0000645996385803999,0.0229270525286929,,55,0
277.099950,1.89077023e+3,-0.00485180274760001,1890.7702310928,0.0000673222719986051,0.0230345368004581,,55,0
277.200040,1.91020226e+3,-0.00428962142034432,1910.20226154183,0.0000679896055964973,0.0231490783203189,,55,0
277.301180,1.82036401e+3,-0.00688870066741222,1820.36401075002,0.0000647683716739004,0.0233207944659404,,55,0
277.400090,1.84129905e+3,-0.00628303629049464,1841.2990508226,0.0000654898788784298,0.0234641513981516,,55,0
277.500000,1.90984095e+3,-0.00430007442438714,1909.84094912714,0.0000679032668709904,0.0235776952430188,,55,0
277.602110,1.88537022e+3,-0.00500802866544553,1885.37021752898,0.0000670085677248107,0.0237233501207771,,55,0
277.700380,1.87820400e+3,-0.00521535215879286,1878.2039951018,0.0000667302484063613,0.0238626905871913,,55,0
277.800200,1.78253566e+3,-0.00798309941162617,1782.53566482335,0.0000633085154162329,0.0240542973241446,,55,0
277.900630,1.89842271e+3,-0.0046304115994679,1898.42270783486,0.0000673999918885345,0.0241632853363975,,55,0
278.000060,1.78533525e+3,-0.00790210553178341,1785.33525183022,0.0000633623602298938,0.0243494051489,,55,0
278.099790,1.76854155e+3,-0.00838795822218263,1768.54155233175,0.0000627438354134477,0.0245216110206267,,55,0
278.199680,1.72533610e+3,-0.00963792021627219,1725.33609823414,0.0000611890257427039,0.0247120536043726,,55,0
278.294100,1.82079494e+3,-0.00687623374024314,1820.7949352518,0.0000645525634327207,0.0248325222962021,,55,0
278.399690,1.75579977e+3,-0.00875658617986907,1755.79977427752,0.0000622246836134307,0.0250179252892654,,55,0
278.499850,1.64579657e+3,-0.0119390507252719,1645.796568993,0.0000583052474136209,0.0252389176449465,,55,0
278.593080,1.60964828e+3,-0.0129848442426492,1609.64828286569,0.0000570055475427505,0.0254428956729158,,55,0
278.698490,1.78534554e+3,-0.00790180778478325,1785.34554357861,0.0000632039358649894,0.0255676772322105,,55,0
278.799870,1.63997203e+3,-0.0121075585718784,1639.97202547403,0.0000580363817320537,0.0257977736231833,,55,0
278.897980,1.65882849e+3,-0.0115620288293045,1658.82848700094,0.000058683035656181,0.0259831616496085,,55,0
